Domain,Count
google.com,27
google.de,25
youtube.com,22
github.com,11
microsoftonline.com,11
microsoft.com,10
forms.gle,9
openai.com,9
office.com,8
goo.gl,8
sharepoint.com,7
live.com,7
telekom.com,6
telekom.de,6
doubleclick.net,6
twitter.com,6
visualstudio.com,5
youtu.be,5
cloud.microsoft,5
rwth-aachen.de,5
awin1.com,5
mozilla.org,4
adobe.com,4
adobelogin.com,4
amazon.de,4
atlassian.com,4
elsevier.com,4
doi.org,4
localhost,4
tu-darmstadt.de,4
check24.de,4
check24.com,4
overleaf.com,3
tiktokv.com,3
googleusercontent.com,3
atlassian.net,3
amazon.com,3
duckduckgo.com,3
sciencedirect.com,3
medium.com,3
bing.com,3
stackoverflow.com,3
tradedoubler.com,3
